title,year,duration,rating,country,poster,genres,tags,imdb_score,rt_score,synopsis,services
Sadece Sen,2014,105.0,13+ (PG-13),,https://img.reelgood.com/content/movie/418d10f6-33cf-47f0-b783-417a9046630e/poster-780.jpg,"Drama, Romance, Action & Adventure",,7.4,,The passionate love between a former boxer and a beautiful blind woman.,"{""reelgood"": ""sadece-sen-2014"", ""netflix"": ""80134519""}"
Sad Hill Unearthed,2018,86.0,,,https://img.reelgood.com/content/movie/9064834d-04e7-42c3-a1f3-dd2b3aece03c/poster-780.jpg,Documentary,,7.3,,"Film fans work to restore the set of the climatic graveyard scene from the iconic spaghetti western “The Good, the Bad and the Ugly,” directed by Sergio Leone in 1966.","{""reelgood"": ""sad-hill-unearthed-2018"", ""netflix"": ""80988832""}"
Sadie's Last Days on Earth,2016,90.0,,,https://img.reelgood.com/content/movie/684d39d3-4e00-4963-bbd6-7022f02c89aa/poster-780.jpg,Comedy,"High School, Apocalypse, Survival, Teen",5.2,40%,Everything in high school is like the world ending and Sadie Mitchell's crippling fear of the coming apocalypse is the heightened version of that.,"{""reelgood"": ""sadies-last-days-on-earth-2016"", ""netflix"": ""80163054""}"
Sad Vacation,2016,90.0,,,https://img.reelgood.com/content/movie/e792b70e-ec53-4d6d-ac8e-af84af64363f/poster-780.jpg,Documentary,,6.5,,The final days of Nancy Spungen and Sid Vicious are explored.,"{""reelgood"": ""sad-vacation-2016"", ""amazon"": ""B078PKJ3V6""}"
Saeed Mirza: The Leftist Sufi,2016,90.0,,,https://img.reelgood.com/content/movie/90de945b-37c7-4ce8-a150-286506a6a55a/poster-780.jpg,Documentary,,7.8,,A portrait of independent filmmaker Saeed Mirza best known for cult arthouse films that tackle socio political tensions in India.,"{""reelgood"": ""saeed-mirza-the-leftist-sufi-2016"", ""netflix"": ""80182105""}"
Safari,2014,15.0,,,https://img.reelgood.com/content/movie/02494ede-3ac7-4cda-ac48-d03f02356817/poster-780.jpg,"Action & Adventure, Crime, Drama, Thriller",,6.3,,"It is an ordinary day in an American institute, but that day will not be like the others ...","{""reelgood"": ""safari-2014"", ""amazon"": ""B07CFPJT6B""}"
Safe Harbor,2009,120.0,,,https://img.reelgood.com/content/movie/56f4724f-4603-457f-b0a8-c25bf09a7031/poster-780.jpg,Drama,,6.3,,"Doug and Robbie are about to set sail on a long trip when they unexpectedly find themselves foster parenting a group of troubled teenage boys. The experience changes their lives for the better, and they decide to stay in town and run the foster home for boys permanently.","{""reelgood"": ""safe-harbor-2009"", ""amazon"": ""B01KEOVKZK""}"
Safe House,1998,112.0,,,https://img.reelgood.com/content/movie/05c10077-0715-47e9-be58-c71c14c5b6f5/poster-780.jpg,Thriller,Medical,7,,"A psychological thriller; Mace Sowell, an ex-intelligence operative and whose past government activities catches up with him, faces his own mortality, in the shape of the onset of Alzheimer's disease. Holding the electronic key to secret information which implicates a Presidential front-runner, Mace struggles for his life while battling the debilitating effects of the disease.","{""reelgood"": ""safe-house-1998"", ""amazon"": ""B07B9M3KZR""}"
Safe Inside,2017,91.0,,,https://img.reelgood.com/content/movie/c061d4e7-6f0c-403d-a3cb-debfa8b5e54b/poster-780.jpg,Horror,,4.9,,A man recovering from a nervous breakdown and the recent death of his mother begins to believe another entity is living within the walls of his home.,"{""reelgood"": ""safe-inside-2017"", ""amazon"": ""B07PFYXQB4""}"
SafeWord,2015,90.0,,,https://img.reelgood.com/content/movie/7b1eb3ab-4aee-45e2-b32b-7463e93cb908/poster-780.jpg,"Horror, Thriller",,4.1,,"Sabina, a young girl with a dark past, wakes up in the dungeon of a masked predator. She's been drugged on a blind date and the night promises terror...just as in her past. But when she outwits her captor and escapes half-naked into the night, her dark odyssey truly begins -- she runs into a trio of adventurers who transport her to a wild fetish party, all the while taking her story as just another kinky role-playing game. But when her tormentor show up at the party and tries to claim her as his prize, will anyone save her? And who is he? The man who drugged her and forced himself on her years ago? Her date from earlier that same day? Or are they one in the same and now he's come back to finish what he started? Or is this all a twisted game just so Sabina can have her own revenge? And if it is, who are the players? And who's GETTING PLAYED?","{""reelgood"": ""safeword-2015"", ""amazon"": ""B07FPFYSJG""}"
