imdb_id,title,original_title,year,rating,companies,country,language,duration,directors,writers,actors,genres,synopsis,budget,gross_us,gross_worldwide,score,votes
tt0219952,Lucky Numbers,,2000,R,"Paramount Pictures, StudioCanal",France,English,105.0,Nora Ephron,Adam Resnick,"John Travolta, Lisa Kudrow, Tim Roth","Comedy, Crime",A television weatherman scams a local lottery.,63000000,10042516,10890222,5.0,9515
tt2404593,Lucky Stiff,,2014,Not Rated,"Branded Pictures Entertainment, New Oz Productions",USA,English,78.0,Christopher Ashley,"Lynn Ahrens, Lynn Ahrens","Dominic Marsh, Nikki M. James, Pamela Shaw","Comedy, Musical",A bachelor travels to Monte Carlo to claim an inheritance from his late rich uncle.,,,,5.2,122
tt0272711,Lucy Calls the President,,1977,,Lucille Ball Productions,USA,English,,Marc Daniels,"Bob Carroll Jr., Madelyn Davis","Lucille Ball, Vivian Vance, Gale Gordon",Comedy,"After Indiana housewife Lucy Whittaker (Lucille Ball) calls the White House to discuss a housing project, she finds herself making preparations for the President to visit her home for ",,,,7.8,84
tt0309816,Lucy Moves to NBC,,1980,Unrated,Lucille Ball Productions,USA,English,90.0,Jack Donohue,"Hal Kanter, Robert O'Brien","Lucille Ball, Robert Alda, Johnny Carson","Comedy, Musical","Contacted by Fred Silverman, the President of NBC, Lucille Ball accepts to go back to work as a producer. With the help of her faithful production assistant, Gale Gordon, she starts working on a new series titled ""The Music Mart"".",,,,7.1,43
tt5515428,Lucy's Really Lost Moments,,1956,Not Rated,Legend Films,USA,English,71.0,Desi Arnaz,Desi Arnaz,"Desi Arnaz, Lucille Ball",Comedy,"The legendary Lucille Ball as you've never seen her before! Laugh along with Lucy and Desi in these extremely rare television appearances, beautifully restored! Includes a rare appearance ",,,,6.7,19
tt3724898,Ludo,,2015,,"Oddjoint Art Pvt. Ltd., Idyabooster",India,Bengali,90.0,"Qaushiq Mukherjee, Nikon","Nikon Basu , Qaushiq Mukherjee","Kamalika Banerjee, Joyraj Bhattacharya, Soumendra Bhattacharya","Fantasy, Horror, Thriller","Four desperate teenagers. A night of sexy mayhem. The big city. Or so the plan goes, until a series of misadventures later, Babai, Pele, Ria and Payal end up in a locked shopping mall in ",INR14000000,,,2.9,564
tt4410000,Luis and the Aliens,Luis & the Aliens,2018,PG,"Ulysses Filmproduktion, Fabrique d'Images",Germany,English,86.0,"Christoph Lauenstein, Wolfgang Lauenstein","Wolfgang Lauenstein , Christoph Lauenstein","Callum Maloney, Dermot Magennis, Ian Coppinger","Animation, Adventure, Comedy",An 11-year-old boy befriends three aliens after they crash their spaceship into his house.,,169710,12627729,6.0,1624
tt8908002,Luka Chuppi,,2019,Not Rated,Maddock Films,India,Hindi,126.0,Laxman Utekar,Rohan Shankar,"Kartik Aaryan, Kriti Sanon, Aparshakti Khurana","Comedy, Romance",It tells the story of a television reporter in Mathura who falls in love with a headstrong woman.,,1042905,1923586,6.3,6338
tt1433915,Luke and Lucy: The Texas Rangers,Suske en Wiske: De Texas rakkers,2009,PG,"Skyline Entertainment, CoBo Fonds",Belgium,Flemish,80.0,"Wim Bien , Mark Mertens","Guy Mortier, Dirk Nielandt","Carlos Alayeto, Guilherme Apollonio, Daniël Boissevain","Animation, Adventure, Comedy","Luke and Lucy, two inseparable friends, have to help out the Texas Rangers to prevent Jim Parasite from taking over the world.",,,1686087,5.6,458
tt1893277,Lukewarm,,2012,,"All Entertainment, KKO Productions (II)",USA,,,Thomas Makowski,"Christopher James Miller, Kevan Otto","John Schneider, Bill Cobbs, Jenna von Oÿ",1h 38min,"Luke Rogers was the ideal ""Christian"". Now in his mid-twenties, Luke has found himself far from the good Christian life he used to lead.",,,,5.7,217
tt6186442,Luk'Luk'I,,2017,,"Sound & Colour, Thousand Plateaus",Canada,English,90.0,Wayne Wapeemukwa,"Eric Buurman, Angela Dawson","Angel Gates, Joe Buffalo, Ken Harrower",Drama,"A portrait of five Vancouverites living on society's fringes during the 2010 Winter Olympics, ""Luk'Luk'I"" takes us into uncharted territory, falling somewhere between a fiction we need to see and a documentary we wish didn't have to exist.",,,,6.4,37
tt0037030,Lumberjack,,1944,Approved,Harry Sherman Productions,USA,English,65.0,Lesley Selander,"Norman Houston , Barry Shipman","William Boyd, Andy Clyde, Jimmy Rogers","Action, Adventure, Drama",Julie's husband has been murdered and land agents want her to sign away her property rights. Hoppy warns against this but she does so anyway. It looks as though she will be unable to ,,,,6.8,120
tt0246765,Lumumba,,2000,Not Rated,"Arte France Cinéma, Arte France",France,French,115.0,Raoul Peck,"Pascal Bonitzer, Dan Edelstein","Eriq Ebouaney, Alex Descas, Théophile Sowié","Biography, Drama, History","The true story of controversial leader of independent Congo, Patrice Lumumba.",,352296,352296,7.2,1705
tt2657160,Luna Park,,2013,Unrated,Lime Street Entertainment,USA,English,75.0,Steven Vasquez,Steven Vasquez,"Laura Reilly, Michael Brent, Taylor Caldwell",Drama,"Alexia Bissett, ex actress turned producer, lives in New York where she now produces gay cinema. After being called to take care of a situation which involves her young mute brother Christi",20,,,3.8,134
tt0861716,Luna: Spirit of the Whale,,2007,PG,"Kaka'win Productions, Screen Siren Pictures",Canada,English,90.0,Don McBrearty,"Marguerite Pigott , Elizabeth Stewart","Adam Beach, Graham Greene, Jason Priestley","Drama, Family","Mike Maquinna returns to his home town of Gold River on Vancouver Island to attend the funeral of his father, Mowachaht/Muchalaht First Nations Chief Ambrose Maquinna. With a troubled past ",,,,6.1,213
tt2442564,Lunch,,2012,Not Rated,The Donna Kanter Company,USA,English,78.0,Donna Kanter,Donna Kanter,"Sid Caesar, Monty Hall, Arthur Hiller",Documentary,"For the past 40 years, a group of comedy writers and directors has gathered every other Wednesday for lunch - and other nourishment. These are the fabled guys that made America funny.",550000,,,7.6,45
tt4884912,Lunch Time Heroes,,2015,,"FilmOne Distribution, PHB Films",Nigeria,English,88.0,Seyi Babatope,"Moses Babatope, Diche Enunwa","Diana Yekinni, Dakore Akande, Odenike Odetola",Family,An unwanted teacher is assigned a class of rejects and helps them and others to see their worth.,80000,,,5.9,15
tt0079833,Lupin the 3rd: Castle of Cagliostro,Rupan sansei: Kariosutoro no shiro,1979,PG-13,TMS Entertainment,Japan,Japanese,102.0,Hayao Miyazaki,"Monkey Punch , Hayao Miyazaki","Yasuo Yamada, Eiko Masuyama, Kiyoshi Kobayashi","Animation, Adventure, Family","A dashing thief, his gang of desperadoes and an intrepid policeman struggle to free a princess from an evil count's clutches, and learn the hidden secret to a fabulous treasure that she holds part of a key to.",JPY5000000000,142425,295200,7.7,23212
tt8698956,Lupt,,2018,,Fun Entertainments,India,Hindi,110.0,Prabhuraj,"Prabhuraj , Prabhuraj","Javed Jaffrey, Niki Walia, Karan Aanand","Horror, Thriller","Haunted by disturbing visions, a workaholic takes a vacation with his family, but a detour leads them to an unsettling stranger and chilling events.",,,,7.8,2867
tt0035002,Lure of the Islands,,1942,Passed,Monogram Pictures,USA,English,61.0,Jean Yarbrough,"Edmond Kelso , George Bricker","Margie Hart, Robert Lowery, Guinn 'Big Boy' Williams","Adventure, Music, Romance","Tana, a voluptuous half-caste girl of the South Seas, falls in love with FBI agent Wally and wishes to marry him and leave the island. Wally, with his pal Jinx, is there to investigate ",,,,4.2,37
tt4778602,"Lusers, los amigos no se eligen",,2015,,"Bamboosa, Tondero Films",Argentina,Spanish,95.0,Ticoy Rodriguez,Fernando Castets,"Carlos Alcántara, Pablo Granados, Felipe Izquierdo","Adventure, Comedy","Three guys from differents countries (Peru, Argentina and Chile) come together in a funny adventure through the jungle in order to get to the Final of the FIFA World Cup Brasil 2014.",,,2527852,4.8,283
