imdb_id,title,original_title,year,rating,companies,country,language,duration,directors,writers,actors,genres,synopsis,budget,gross_us,gross_worldwide,score,votes
tt0457182,Um Tiro no Escuro,,2005,Not Rated,"Cine Studio Filmes, MGN Filmes",Portugal,Portuguese,105,Leonel Vieira,"Jorge Almeida , Jorge Almeida","Joaquim de Almeida, Vanessa Mesquita, Filipe Duarte","Crime, Thriller, Drama","A baby is kidnapped in a Brazilian airport. Years later, the mother lives in Lisbon and works in a strip-tease bar so she can survive. When she is fired, she joins a gang of bank robbers...",EUR1000000,,116674,6.3,348
tt0058586,A Shot in the Dark,,1964,PG,"The Mirisch Corporation, Mirisch Films",UK,English,102,"Blake Edwards, George Dunning","Blake Edwards , William Peter Blatty","Peter Sellers, Elke Sommer, George Sanders","Comedy, Mystery",Inspector Jacques Clouseau investigates the murder of Mr. Benjamin Ballon's driver at a country estate.,,12368234.0,12368234,7.5,23929
tt0280438,Ash Wednesday,,2002,R,"IFC Productions, Marlboro Road Gang Productions",USA,English,99,Edward Burns,Edward Burns,"Brian Burns, Vincent Rubino, James Michael Cummings","Crime, Drama",Ash Wednesday is set in the Manhattan of the early 1980's and is about a pair of Irish-American brothers (Burns and Wood) who become embroiled in a conflict with the Irish Mob.,,2942.0,57442,5.9,2834
tt0810760,Asian Stories,Asian Stories,2006,Not Rated,"Deer Studio, Flix Factory",USA,English,98,"Ron Oda, Kris Chin",Ron Oda,"James Kyson, Kathy Uyen, Kirt Kishita","Comedy, Drama","Jim, the cheapest Chinese American dude in LA, has recently been left by his fiancé, Katherine two weeks before their wedding on Valentine's Day. In order to ease his pain, he asks his ",750000,,,5.6,100
tt1456477,As If I Am Not There,,2010,,"Euroimages Fund of the Council of Europe, Film i Väst",Ireland,Bosnian,109,Juanita Wilson,Juanita Wilson,"Natasha Petrovic, Fedja Stukan, Jelena Jovanova",Drama,A harsh dose of cinematic realism about a harsh time-the Bosnian War of the 1990s-Juanita Wilson's drama is taken from true stories revealed during the International Criminal Tribunal in ,,,8347,7.2,1026
tt1807944,As I Lay Dying,,2013,R,"Picture Entertainment, RabbitBandini Productions",USA,English,110,James Franco,"William Faulkner , James Franco","James Franco, Tim Blake Nelson, Jim Parrack",Drama,"Based on the classic novel by William Faulkner, first published in 1930, ""As I Lay Dying"" is the story of the death of Addie Bundren and her family's quest to honor her last wish to be buried in the nearby town of Jefferson.",5000000,16697.0,71759,5.4,3636
tt5323662,A Silent Voice,Koe no katachi,2016,Not Rated,"ABC Animation, Kodansha",Japan,Japanese,130,Naoko Yamada,"Yoshitoki Oima , Reiko Yoshida","Miyu Irino, Saori Hayami, Aoi Yûki","Animation, Drama, Romance","A young man is ostracized by his classmates after he bullies a deaf girl to the point where she moves away. Years later, he sets off on a path for redemption.",,644391.0,30490447,8.2,30684
tt0422458,A Simple Curve,,2005,Not Rated,"British Columbia Film, Canadian Film or Video Production Tax Credit (CPTC)",Canada,English,92,Aubrey Nealon,Aubrey Nealon,"Kris Lemche, Michael Hogan, Matt Craven",Drama,"Father and son run their own two-man furniture business but have opposing ideologies on what should guide their craftsmanship, quality or commerce.",,,,6.6,458
tt7040874,A Simple Favor,,2018,R,"BRON Studios, Creative Wealth Media Finance",Canada,English,117,Paul Feig,"Darcey Bell , Jessica Sharzer","Anna Kendrick, Blake Lively, Henry Golding","Comedy, Crime, Drama","Stephanie is a single mother with a parenting vlog who befriends Emily, a secretive upper-class woman who has a child at the same elementary school. When Emily goes missing, Stephanie takes it upon herself to investigate.",20000000,53548586.0,97644617,6.8,101063
tt0120324,A Simple Plan,,1998,R,"British Broadcasting Corporation (BBC), H2L Media Group",UK,English,121,Sam Raimi,"Scott B. Smith , Scott B. Smith","Bill Paxton, Billy Bob Thornton, Bridget Fonda","Crime, Drama, Thriller",When three blue collar acquaintances come across millions of dollars in lost cash they make a plan to keep their find from the authorities but find complications and mistrust weaving its way into their plan.,30000000,16316273.0,16316273,7.5,59536
tt1315981,A Single Man,,2009,R,"Fade to Black Productions, Depth of Field",USA,English,99,Tom Ford,"Christopher Isherwood , Tom Ford","Colin Firth, Julianne Moore, Matthew Goode","Drama, Romance","An English professor, one year after the sudden death of his boyfriend, is unable to cope with his typical days in 1960s Los Angeles.",7000000,9176000.0,24964890,7.6,101022
tt1361332,A Siren in the Dark,,2009,Unrated,"Ariztical Entertainment, In the Pink Productions",USA,English,81,"Laura Reilly, Steven Vasquez",,"Todd Williams, Orion Cross, Jason Dodds","Drama, Horror, Mystery","Cameron, a Police Officer with psychic abilities, is called upon to interview an accused teen in hopes of finding the whereabouts of the teen's missing gay lover. His investigation ",12500,,,3.1,204
tt1735286,A Sister's Call,,2012,Not Rated,"Grey Hawk Productions, Kartemquin Films",USA,English,76,"Kyle Tekiela, Rebecca Schaper",,,"Documentary, Biography, Drama","A woman who grew up with a mentally-ill mother, tries to find her brother, who hears imaginary friends in his head and has wandered off, possibly suffering from the same illness as his mother had.",,,,8.2,71
tt2953240,A Sister's Nightmare,,2013,TV-14,Sepia Films,Canada,English,86,Vic Sarin,Shelley Gillen,"Kelly Rutherford, Natasha Henstridge, Peyton List","Drama, Mystery, Thriller","Police officer Jane Rydert's life goes into a tailspin the day her older sister, Cassidy, shows up at her door after sixteen years of confinement in a psychiatric hospital.",,,,5.8,729
tt2176228,As It Is in Heaven,,2014,Not Rated,"Solis Films, Tracking Shot Productions",USA,English,86,Joshua Overbay,"Ginny Lee Overbay , Ginny Lee Overbay","Todd Bagley, Shannon Kathleen Baker, Luke Beavers",Drama,"After the death of the Prophet, a man is called to lead his small religious sect as they anxiously await the end of the world they were promised.",16000,10850.0,10850,7.3,76
tt0284769,Askari,,2001,TV-PG,Peakviewing Productions,USA,English,85,David Lister,"John Cundill, Ashley Way","Marlee Matlin, C. Thomas Howell, Amanda Fuller","Drama, Family","A girl is living with her aunt and uncle who run a game reservation in Africa. When their shady boss decides it's time to cull certain species to prevent overpopulation, poachers appear.",,,,4.2,117
tt2505294,Ask Me Anything,,2014,Not Rated,"Tait Productions, Decipher Entertainment",USA,English,100,Allison Burnett,"Allison Burnett , Allison Burnett","Britt Robertson, Molly Hagan, Andy Buckley",Drama,"A confused teenager writes a blog revealing her daily activities and secrets, advised to do so by her high school guidance counselor in lieu of moving onto her first year in college.",950000,,,6.0,10918
