title,year,duration,rating,country,poster,genres,tags,imdb_score,rt_score,synopsis,services
Life of Lemon,2011,90.0,,,https://img.reelgood.com/content/movie/fd0b0b95-5d79-4371-9f13-3bfdee2bfe60/poster-780.jpg,"Drama, Independent",,5.7,,"A blue collar man, inspired by his homeless friend, sets out to better his life by pursuing a more meaningful job going against his father's wishes. On his journey he discovers how important it is to believe in himself and with having hope and ambition magical things happen.","{""reelgood"": ""life-of-lemon-2011"", ""amazon"": ""B07K5CV21Z""}"
Life of Significant Soil,2017,72.0,,,https://img.reelgood.com/content/movie/759d3b17-abf3-4425-913a-147877903acf/poster-780.jpg,"Comedy, Drama",,6.4,,A struggling young couple is forced to live the last day of their relationship over and over again,"{""reelgood"": ""life-of-significant-soil-2017"", ""amazon"": ""B07KPRCKWW""}"
Life On The V: The Story Of V66,2014,96.0,,,https://img.reelgood.com/content/movie/771e708e-9125-4d71-b95b-f62447c8de1b/poster-780.jpg,"Documentary, Biography",,8.5,,"Boston's V66 music video station came and went in the mid-1980s but in the 18 months on the air, it was one of the only over-the-air music video channels  ever created. But even popular success didn't mean it was going to last...","{""reelgood"": ""life-on-the-v-the-story-of-v66-2017"", ""amazon"": ""B07JFW3T9L""}"
Life on Us: A Microscopic Safari,2014,101.0,,,"data:image/svg+xml;base64,PHN2ZyB3aWR0aD0iMTEiIGhlaWdodD0iMTIuNCIgeG1sbnM9Imh0dHA6Ly93d3cudzMub3JnLzIwMDAvc3ZnIj48cGF0aCBkPSJNMS43NjIuMjk4Qy44MDctLjI1Mi4wMzIuMjA4LjAzMiAxLjMwOHY5Ljc4YzAgMS4xMDguNzY4IDEuNTY0IDEuNzMgMS4wMWw4LjUzLTQuOTA0Yy45NTUtLjU1Ljk2Mi0xLjQzNyAwLTEuOTlMMS43NjEuMjk3eiIgc3Ryb2tlPSJudWxsIiBmaWxsPSIjMDgxMTE4IiBmaWxsLXJ1bGU9ImV2ZW5vZGQiLz48L3N2Zz4=",Documentary,,8,,"Just like planet Earth, our body is composed of diverse landscapes and habitats for a surprising array of wildlife. ""Life On Us"" offers a unique perspective, encountering the creatures that live, thrive, compete, feed, breed, are born or die on or in our bodies.","{""reelgood"": ""life-on-us-a-microscopic-safari-2014"", ""amazon"": ""B01LZIWS75""}"
Life Overtakes Me,2019,40.0,,,https://img.reelgood.com/content/movie/75b42717-bd0f-49f3-963c-c3580d6ba040/poster-780.jpg,Documentary,,6.3,,"Hundreds of refugee children in Sweden, who have fled with their families from extreme trauma, have become afflicted with 'uppgivenhetssyndrom,' or Resignation Syndrome. Facing deportation, they withdraw from the world into a coma-like state, as if frozen, for months, or even years.","{""reelgood"": ""life-overtakes-me-2019"", ""netflix"": ""81034980""}"
Life Partners,2014,95.0,18+ (R),America,https://img.reelgood.com/content/movie/45071a41-5c3f-4bdb-b1b0-dcd9c6e06254/poster-780.jpg,"Comedy, Romance, Drama","Friendship, Female Director, Mature, Feel-good",6.2,67%,A 29-year-old lawyer  and her lesbian best friend experience a dramatic shift in their longtime bond after one enters a serious relationship,"{""reelgood"": ""life-partners-2014"", ""hulu"": ""life-partners-f093f4a1-5f73-4e05-ae01-f09b814461c0""}"
Life's a Jungle: Africa's Most Wanted,2012,101.0,All (G),,https://img.reelgood.com/content/movie/c5c62ce6-ca79-4490-a0d8-f9f81fd43e11/poster-780.jpg,"Animation, Family",,1.6,,"Pip thought he had it all, a pampered lifestyle, huge mansion and adoring owners, that is until the Taylor family booked an African safari. Pip finds himself separated from his clan, which forces him to reluctantly adapt to a new way of life in the jungle. As he bridges the divide between feuding wildlife he learns that caviar and manicures can never bring the same happiness as friendship.","{""reelgood"": ""lifes-a-jungle-2012"", ""amazon"": ""B008AYKW38""}"
Lifever,2013,90.0,,,https://img.reelgood.com/content/movie/e873438d-53be-4a8e-b6d0-4bc08f2e06fc/poster-780.jpg,"Drama, Science-Fiction",,6.1,,"Karine is sixteen and lives with her mother. Every day, she chats with her father on a webcam. Mixing social drama and science fiction, the movie dives into the day-to-day life of an almost normal family...","{""reelgood"": ""lifever-2017"", ""amazon"": ""B01KX0OJ2G""}"
Life with Father,1947,118.0,,America,https://img.reelgood.com/content/movie/bc54cd5b-aeca-4fe2-b5d2-59ae6bbbd06b/poster-780.jpg,"Comedy, Family","Adaptation, Feel-good",7.2,91%,"In late nineteenth century New York a Wall Street broker likes to think his house runs his way, but finds himself constantly bemused at how much of what happens is down to his wife. His children are also stretching their wings, discovering girls and making money out of patent medicine selling. When it comes to light he has never been baptized and everyone starts insisting he must do so, it all starts to get a bit too much.","{""reelgood"": ""life-with-father-1947"", ""amazon"": ""B0030V05AG""}"
Life with Murder,2010,95.0,,,https://img.reelgood.com/content/movie/20e1fb25-e7a9-4ba6-ba55-2b56e864a8b5/poster-780.jpg,Documentary,,6.9,,"Chatham, Ontario, 1998. Eighteen-year-old Jennifer Jenkins is brutally shot to death by multiple rifle rounds in her family home. The main suspect: her brother, Mason Jenkins, who fled the scene of the crime.","{""reelgood"": ""life-with-murder-2010"", ""amazon"": ""B017VDE48M""}"
Lift,2001,85.0,18+ (R),America,https://img.reelgood.com/content/movie/e537be5a-fd98-42ba-ac8e-6976705af157/poster-780.jpg,"Crime, Drama",Female Director,6.2,44%,"This feature takes us into the world of ""boosters"" or shoplifters where a charismatic, intelligent young female booster from a dysfunctional family, notably her mother and grandmother, engages in the illegal occupation of shoplifting. A non-stereotypical view of how problematic family relations fed her foray into a criminal profession.","{""reelgood"": ""lift-2001"", ""amazon"": ""B071H2MMY3""}"
Lifted,2010,108.0,13+ (PG-13),America,https://img.reelgood.com/content/movie/07b5deb2-4a44-4cae-b53a-a22f5ac68231/poster-780.jpg,"Drama, Family","Female Director, Singing",6.6,,"The chance to shine in a singing competition offers much-needed hope for a Southern middle-schooler who's drowning in worries, from bullies in the halls to turmoil at home -- and the news that his reservist father has been called back to Afghanistan.","{""reelgood"": ""lifted-2010"", ""amazon"": ""B00Y1DF8WW""}"
Lightning Bolt,1967,90.0,,Italy,https://img.reelgood.com/content/movie/cddb97b8-90e3-41d3-808c-630487bd8616/poster-780.jpg,"Action & Adventure, Science-Fiction, Mystery, Thriller, Musical, Documentary","Space, Spy",5.1,,A U.S. agent goes undercover as a rich playboy to stop a madman from destroying a NASA moon project.,"{""reelgood"": ""lightning-bolt-1967"", ""amazon"": ""B07B9QW9NK""}"
Light of Mine,2011,77.0,,,https://img.reelgood.com/content/movie/60f5cfde-d614-4f62-b883-1720bcca2da7/poster-780.jpg,Drama,,7.6,,"A young photographer is diagnosed with Leber's Hereditary Optic Neuropathy a rare, degenerative eye disease that usually results in blindness.","{""reelgood"": ""light-of-mine-2011"", ""amazon"": ""B072LYFWC7""}"
Light of My Eyes,2001,123.0,,,https://img.reelgood.com/content/movie/d5cd0edd-ad90-44c4-99a3-277d61d2e4fd/poster-780.jpg,"Drama, Independent, Romance",,6.9,,"Antonio is a fallen angel, a rootless chauffeur in Rome, who relates only to the lonely heroes in the pulp fiction novels he grew up with. Only through a change encounter with Maria, a woman struggling to hold onto her daughter and her business, does he discover a hope that's been in his detached existence.","{""reelgood"": ""light-of-my-eyes-2001"", ""amazon"": ""B011T41FFY""}"
